label, filename, nodePair,  NumberPacketsIn, NumberPacketsOut, Payload Length, protocol, avgTimeInterval, totalFlowTime, bwdps
1,0000,172.16.0.5;192.168.50.1,348431,44,543.958350441208,16.996963914196797,1.4953055676997276e-05,5.210766077041626,66867.51906503143
1,0000,192.168.50.254;224.0.0.5,3,0,80.0,89.0,1.3510386149088542e-06,4.0531158447265625e-06,740171.2941176471
1,0000,192.168.50.7;23.194.109.223,4,2,75.77777777777779,6.0,0.010372201601664225,0.06223320960998535,64.27436452447084
1,0001,172.16.0.5;192.168.50.1,348429,66,543.946261370221,16.996034376390682,1.5115990361862385e-05,5.267847061157227,66142.58082189996
1,0001,0.0.0.0;255.255.255.255,1,0,328.0,17,0,1,1.0
1,0001,192.168.50.253;224.0.0.5,4,0,80.0,89.0,1.4901161193847656e-06,5.9604644775390625e-06,671088.64
1,0001,192.168.50.7;216.58.219.202,4,4,72.58333333333334,6.0,0.009733617305755615,0.07786893844604492,51.36836432888557
1,0001,192.168.50.7;172.217.7.14,2,2,43.75,6.0,0.008080005645751953,0.03232002258300781,61.88114488049572
1,0002,172.16.0.5;192.168.50.1,348426,46,543.9540823883018,16.996929452008413,1.5178522094528302e-05,5.289289951324463,65873.8702560166
1,0002,192.168.50.8;172.217.12.129,8,4,63.45925925925926,6.0,0.003456751505533854,0.04148101806640625,192.85929740665807
1,0002,192.168.50.8;172.217.9.226,32,12,61.99711118897319,6.0,0.024035291238264603,1.0575528144836426,30.258536086090622
1,0002,192.168.50.254;224.0.0.5,3,0,80.0,89.0,1.6689300537109375e-06,5.0067901611328125e-06,599186.2857142857
1,0002,192.168.50.8;172.217.12.162,8,4,63.45925925925926,6.0,0.003567337989807129,0.04280805587768555,186.88071289334448
1,0002,192.168.50.8;172.217.10.130,8,4,63.45925925925926,6.0,0.0034068425496419272,0.040882110595703125,195.68461323131473
1,0002,192.168.50.8;172.217.7.4,8,4,63.45925925925926,6.0,0.003551661968231201,0.042619943618774414,187.70555098707212
1,0002,192.168.50.8;172.217.7.6,8,4,63.45925925925926,6.0,0.00358124574025472,0.04297494888305664,186.15496255201109
1,0002,0.0.0.0;255.255.255.255,1,0,328.0,17,0,1,1.0
1,0003,172.16.0.5;192.168.50.1,347915,20,543.9947087116876,16.99889634558229,1.5271527652712186e-05,5.3134989738464355,65477.569810866975
1,0003,192.168.50.253;224.0.0.5,4,0,80.0,89.0,1.7881393432617188e-06,7.152557373046875e-06,559240.5333333333
1,0003,192.168.50.8;74.208.236.171,22,20,401.1570633951586,6.0,0.022165644736517044,0.9309570789337158,23.631594299919815
1,0003,192.168.50.8;4.2.2.4,80,80,88.03492450311845,17.0,0.01463865041732788,2.342184066772461,34.156154136186366
1,0003,192.168.50.8;172.217.9.226,60,60,117.96353447328183,6.0,0.012128891547520955,1.4554669857025146,41.22388249915515
1,0003,192.168.50.8;172.217.11.42,22,22,256.2692092142255,6.0,0.016914611512964427,0.7442429065704346,29.56024142894258
1,0003,192.168.50.8;172.217.12.131,36,35,278.43929384307205,6.0,0.016759466117536505,1.1899220943450928,30.254081482379412
1,0003,192.168.50.7;172.217.7.14,2,2,43.75,6.0,0.008090794086456299,0.032363176345825195,61.79863121680259
1,0003,192.168.50.8;172.217.6.194,6,4,74.56,6.0,0.02825658321380615,0.2825658321380615,21.233989809031133
1,0003,192.168.50.8;172.217.7.1,14,12,122.84276791584482,6.0,0.01275015794313871,0.33150410652160645,42.23175437221174
1,0003,192.168.50.8;172.217.11.2,76,109,626.0098464946956,6.0,0.007191880973609716,1.3304979801177979,57.121469657001064
1,0003,192.168.50.8;172.217.7.4,26,26,165.69985299871462,6.0,0.005230380938603328,0.27197980880737305,95.5953315579181
1,0003,192.168.50.8;37.157.6.247,15,9,427.5528645833333,6.0,0.012865662574768066,0.3087759017944336,48.57892054667593
1,0003,192.168.50.8;72.21.91.29,6,6,167.66666666666666,6.0,0.0049119194348653155,0.05894303321838379,101.7932005258368
1,0003,192.168.50.8;172.217.6.226,12,4,144.4375,6.0,0.002873063087463379,0.04596900939941406,261.0454337994274
1,0003,192.168.50.8;216.58.219.206,6,2,144.4375,6.0,0.005440860986709595,0.04352688789367676,137.84583025223893
1,0003,192.168.50.8;104.36.115.113,2,0,52.0,6.0,1.0728836059570312e-06,2.1457672119140625e-06,932067.5555555555
1,0004,172.16.0.5;192.168.50.1,347720,46,543.9527228522978,16.996704680734428,1.5358039298856413e-05,5.341003894805908,65103.86564933148
1,0004,104.36.115.113;192.168.50.8,18,14,482.2588942307692,6.0,0.010269343852996828,0.32861900329589844,54.77467772547608
1,0004,172.217.6.226;192.168.50.8,34,32,373.05683347971444,6.0,0.0036947257591016355,0.243851900100708,139.42889100293414
1,0004,172.217.11.2;192.168.50.8,14,8,171.51556473829203,6.0,0.04939136721871116,1.0866100788116455,12.884106518974024
1,0004,172.217.7.4;192.168.50.8,12,6,78.02160493827161,6.0,0.049718115064832896,0.8949260711669922,13.408928834034173
1,0004,216.58.219.206;192.168.50.8,19,18,364.91718596807004,6.0,0.007003217130093961,0.25911903381347656,73.32537374956755
1,0004,192.168.50.8;4.2.2.4,46,46,83.68615487231216,17.0,0.01703432591065117,1.5671579837799072,29.352496988880652
1,0004,37.157.6.247;192.168.50.8,21,18,441.94620893087966,6.0,0.057486870349981845,2.241987943649292,9.366687300654357
1,0004,192.168.50.8;165.254.0.88,8,6,162.01020408163268,6.0,0.018392137118748257,0.2574899196624756,31.06917742833042
1,0004,192.168.50.8;172.217.10.110,8,6,150.1122448979592,6.0,0.021864141736711775,0.30609798431396484,26.13542202157854
1,0004,192.168.50.254;224.0.0.5,3,0,80.0,89.0,1.3510386149088542e-06,4.0531158447265625e-06,740171.2941176471
1,0004,192.168.50.8;72.21.91.29,2,0,40.0,6.0,5.960464477539062e-07,1.1920928955078125e-06,1677721.6
1,0004,192.168.50.8;185.167.164.46,58,86,803.0332536402736,6.0,0.006527402334743076,0.9399459362030029,61.705676641676085
1,0004,192.168.50.8;95.131.136.1,18,19,403.9507400163895,6.0,0.020742699906632706,0.7674798965454102,23.45338305409929
1,0004,192.168.50.8;165.254.0.99,8,6,162.06122448979593,6.0,0.01798272132873535,0.2517580986022949,31.776534873810313
1,0004,192.168.50.8;192.229.210.129,42,83,940.2711954330098,6.0,0.0010276813507080075,0.12846016883850098,326.9495936347557
1,0004,192.168.50.8;172.217.9.226,4,2,40.0,6.0,0.0069853464762369795,0.041912078857421875,95.4378811322472
1,0004,192.168.50.253;224.0.0.5,4,0,80.0,89.0,1.2516975402832031e-06,5.0067901611328125e-06,798915.0476190476
1,0004,192.168.50.7;172.217.10.3,8,4,63.45925925925926,6.0,0.0034231742223103843,0.04107809066772461,194.75101860772864
1,0004,192.168.50.7;172.217.10.130,16,8,63.40959595959597,6.0,0.0017578701178232825,0.04218888282775879,379.24682825383013
1,0005,172.16.0.5;192.168.50.1,348399,36,543.9689333681773,16.997784378721878,1.5502745321687812e-05,5.401699066162109,64498.039548792636
1,0005,192.168.50.7;172.217.7.1,8,6,62.42857142857143,6.0,0.002972926412309919,0.04162096977233887,192.21080248151182
1,0005,192.168.50.8;37.157.6.247,8,6,150.46530612244896,6.0,0.04675463267735073,0.6545648574829102,12.221859925024878
1,0005,192.168.50.7;172.217.12.162,8,4,63.45925925925926,6.0,0.0035442511240641275,0.04253101348876953,188.0980335000112
1,0005,192.168.50.7;216.58.219.202,8,4,63.45925925925926,6.0,0.00352249542872111,0.04226994514465332,189.25976772912637
1,0005,192.168.50.7;172.217.9.226,8,2,63.32666666666667,6.0,0.004327201843261718,0.04327201843261719,184.8769780050249
1,0005,192.168.50.7;172.217.11.34,8,4,63.45925925925926,6.0,0.003555595874786377,0.04266715049743652,187.49787381467263
1,0005,192.168.50.7;172.217.7.6,16,8,63.351477740366626,6.0,0.0017237961292266846,0.04137110710144043,386.7433366182005
